economy,Pop-YR2002,Pop-YR2021,Pop%,Life-YR2002,Life-YR2021,Life%,Fer-YR2002,Fer-YR2021,Fer%,Death-YR2002,Death-YR2021,Death%,Birth-YR2002,Birth-YR2021,Birth%,Med_Age-YR2002,Med_Age-YR2021,Med%,Pop_Gro-YR2002,Pop_Gro-YR2021
COG,3331158,5835806,0.7518850802033408,55.088,63.519,0.15304603543421424,4.719,4.171,-0.11612629794447982,11.463,7.063,-0.38384367094128935,37.547,30.691,-0.1825978107438676,17.5,18.2,0.040000000000000036,2.34039442531377,2.31648825280279
COL,40454050,51516562,0.2734587019099448,71.939,72.83,0.0123854932651275,2.458,1.717,-0.3014646053702197,5.26,7.735,0.4705323193916351,21.021,14.204,-0.3242947528661815,23.6,30.8,0.3050847457627117,1.53486691614177,1.14382091580962
COM,559047,821625,0.4696885950555141,59.056,63.417,0.07384516391221907,5.206,3.978,-0.2358816749903957,10.317,8.718,-0.15498691480081417,35.017,29.398,-0.16046491704029475,15.5,20.1,0.2967741935483872,2.04310008455716,1.89944099480128
CPV,473231,587925,0.24236366594749703,70.705,74.052,0.04733752917049716,3.271,1.896,-0.420360745949251,5.291,6.028,0.13929313929313913,27.255,16.951,-0.3780590717299578,18.0,26.5,0.4722222222222223,1.54881400616773,0.90298888332359
CRI,4122623,5153957,0.2501645190452777,77.983,77.023,-0.012310375338214885,2.2,1.533,-0.30318181818181833,3.999,7.192,0.7984496124031009,18.12,11.873,-0.34475717439293607,25.1,32.9,0.31075697211155373,1.69774908835068,0.600406861056438
CSS,6671842,7481877,0.12141099864175442,69.9700669387854,70.9962586746614,0.01466615341062627,2.21532659980828,1.66452203748274,-0.24863357049620038,6.97504322239645,8.94012435154975,0.2817303157123874,18.9366053479684,13.5505606924573,-0.2844250358784046,,,,0.679648995148938,0.498457440178115
CUB,11170051,11256372,0.007727896676568369,76.612,73.683,-0.03823160862528052,1.608,1.442,-0.1032338308457712,7.436,14.652,0.9704142011834318,12.262,8.922,-0.27238623389332894,33.2,41.2,0.24096385542168663,0.277231369135209,-0.393012541562472
CUW,129205,152369,0.17928098757788002,73.2115365853659,0.0,-1.0,2.23,1.38390804597701,-0.37941343229730495,8.352,11.1,0.32902298850574696,14.988,8.6,-0.426207632772885,34.1,36.0,0.055718475073313734,0.122361119924304,-1.6777912474095
CYM,42456,68136,0.6048615036743923,0.0,0.0,,0.0,0.0,,2.8,4.0,0.4285714285714286,13.7,12.4,-0.094890510948905,32.3,37.2,0.15170278637770918,3.35799722306069,1.21820372930296
CYP,982194,1244188,0.2667436372040555,77.487,81.203,0.04795643140139649,1.498,1.321,-0.11815754339118834,7.113,7.257,0.02024462252214243,11.786,10.313,-0.12497878839300858,31.0,37.6,0.2129032258064516,1.78369248341346,0.535999429698235
